,adongCd,adongNm,bizesId,bizesNm,bldMngNo,bldMnno,bldNm,bldSlno,brchNm,ctprvnCd,ctprvnNm,dongNo,flrNo,hoNo,indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,indsSclsCd,indsSclsNm,ksicCd,ksicNm,lat,ldongCd,ldongNm,lnoAdr,lnoCd,lnoMnno,lnoSlno,lon,newZipcd,oldZipcd,plotSctCd,plotSctNm,rdnm,rdnmAdr,rdnmCd,signguCd,signguNm
0,4514052000,중앙동,23494647,이삭토스트,4514010100100600000094989,19,,1,,45,전라북도,,1,,Q,음식,Q04,분식,Q04A05,스낵,I56194,분식 및 김밥 전문점,35.941468568836,4514010100,창인동1가,전라북도 익산시 창인동1가 60,4514010100200600000,60,,126.948806901972,54593,570991,1,대지,전라북도 익산시 중앙로1길,전라북도 익산시 중앙로1길 19-1,451404608206,45140,익산시
1,4427025300,송악읍,23494648,돼지부속구이,4483025628107920000049631,199,,,,44,충청남도,,,,Q,음식,Q01,한식,Q01A02,갈비/삼겹살,I56111,한식 음식점업,36.9010165238996,4427025328,송악읍,충청남도 당진시 송악읍 반촌리 792,4427025328207920000,792,,126.703027581694,31734,343824,1,대지,충청남도 당진시 송악읍 반촌로,충청남도 당진시 송악읍 반촌로 199,442703265033,44270,당진시
2,1129055500,삼선동,23494653,기념일프로젝트,1129011300100900001047211,123,박애빌딩,,,11,서울특별시,,1,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,37.5854654647304,1129011300,삼선동3가,서울특별시 성북구 삼선동3가 90-1,1129011300200900001,90,1,127.012005822788,02868,136043,1,대지,서울특별시 성북구 보문로29길,서울특별시 성북구 보문로29길 123,112904121208,11290,성북구
3,4115051000,의정부1동,23494656,설빙,4115010100101800010012618,38,,,의정부점,41,경기도,,2,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,37.7405161311466,4115010100,의정부동,경기도 의정부시 의정부동 180-10,4115010100201800010,180,10,127.049444309964,11695,480010,1,대지,경기도 의정부시 태평로89번길,경기도 의정부시 태평로89번길 38,411504343383,41150,의정부시
4,4146353000,상갈동,23494658,줄타기매점,4146310500100310000227746,90,한국민속촌,,,41,경기도,,1,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,37.25912323322,4146310500,보라동,경기도 용인시 기흥구 보라동 35,4146310500200350000,35,,127.122525728377,17075,446905,1,대지,경기도 용인시 기흥구 민속촌로,경기도 용인시 기흥구 민속촌로 90,414633204030,41463,용인시 기흥구
5,2818576200,연수2동,23494659,벨칸토,2818510300106280007174483,7,,1,,28,인천광역시,,1,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,37.4119135192909,2818510300,연수동,인천광역시 연수구 연수동 628-7,2818510300206280007,628,7,126.678128162206,21929,406110,1,대지,인천광역시 연수구 샘말로8번길,인천광역시 연수구 샘말로8번길 7-1,281854256124,28185,연수구
6,2915568000,백운2동,23494662,팔성호프.소주방,2915510500106340020006636,4,팔성관광여행사,,,29,광주광역시,,1,,Q,음식,Q09,유흥주점,Q09A01,호프/맥주,I56219,기타 주점업,35.1339128958026,2915510500,백운동,광주광역시 남구 백운동 634-20,2915510500206340020,634,20,126.901816301535,61660,503300,1,대지,광주광역시 남구 독립로,광주광역시 남구 독립로 4,291553009020,29155,남구
7,4122063000,비전2동,23494673,옥이치킨,4122011800102170003018311,657,,,한전점,41,경기도,,1,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,36.9926136607547,4122011800,비전동,경기도 평택시 비전동 217-3,4122011800202170003,217,3,127.107465182594,17899,450150,1,대지,경기도 평택시 평남로,경기도 평택시 평남로 657,412203188116,41220,평택시
8,5011025600,구좌읍,23494674,비다,5011025630118370003000001,28,,,,50,제주특별자치도,,,,Q,음식,Q06,양식,Q06A01,정통양식/경양식,I56114,서양식 음식점업,33.535568868563,5011025630,구좌읍,제주특별자치도 제주시 구좌읍 한동리 1837-3,5011025630218370003,1837,3,126.819473014415,63359,695982,1,대지,제주특별자치도 제주시 구좌읍 한동로6길,제주특별자치도 제주시 구좌읍 한동로6길 28,501104848989,50110,제주시
9,1168051000,신사동,23494683,메이드,1168010700105780002010101,17,,,,11,서울특별시,,1,,Q,음식,Q06,양식,Q06A01,정통양식/경양식,I56114,서양식 음식점업,37.5257894493302,1168010700,신사동,서울특별시 강남구 신사동 578-2,1168010700205780002,578,2,127.027229374316,06030,135892,1,대지,서울특별시 강남구 논현로175길,서울특별시 강남구 논현로175길 17,116804166161,11680,강남구
10,5011054000,이도2동,23494686,산적,5011010400103800012064824,61,,1,이도점,50,제주특별자치도,,,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,33.4989357011471,5011010400,이도이동,제주특별자치도 제주시 이도이동 380-12,5011010400203800012,380,12,126.537128248514,63216,690824,1,대지,제주특별자치도 제주시 가령로,제주특별자치도 제주시 가령로 61-1,501103349001,50110,제주시
