,adongCd,adongNm,bizesId,bizesNm,bldMngNo,bldMnno,bldNm,bldSlno,brchNm,ctprvnCd,ctprvnNm,dongNo,flrNo,hoNo,indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,indsSclsCd,indsSclsNm,ksicCd,ksicNm,lat,ldongCd,ldongNm,lnoAdr,lnoCd,lnoMnno,lnoSlno,lon,newZipcd,oldZipcd,plotSctCd,plotSctNm,rdnm,rdnmAdr,rdnmCd,signguCd,signguNm
0,4611070500,북항동,20433941,신은하수,4611010200117020010000625,12,,,,46,전라남도,,,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,34.8015971025733,4611010200,산정동,전라남도 목포시 산정동 1702-10,4611010200217020010,1702,10,126.376990744068,58716,530350,1,대지,전라남도 목포시 청호로113번길,전라남도 목포시 청호로113번길 12,461104643710,46110,목포시
1,4611070500,북항동,20433947,곰탱이,4611010200116350007007706,7,,,,46,전라남도,,,,Q,음식,Q09,유흥주점,Q09A01,호프/맥주,I56219,기타 주점업,34.8059590391218,4611010200,산정동,전라남도 목포시 산정동 1635-7,4611010200216350007,1635,7,126.370195391486,58713,530350,1,대지,전라남도 목포시 뚝섬길,전라남도 목포시 뚝섬길 7,461104643161,46110,목포시
2,5011053000,이도1동,20433949,강강술래,5011010300113490030038559,12,,,,50,제주특별자치도,,,,Q,음식,Q03,일식/수산물,Q03A01,횟집,I56111,한식 음식점업,33.5122006814628,5011010300,이도일동,제주특별자치도 제주시 이도일동 1349-30,5011010300213490030,1349,30,126.525959267301,63192,690829,1,대지,제주특별자치도 제주시 중앙로11길,제주특별자치도 제주시 중앙로11길 12,501104848759,50110,제주시
3,4615056000,조곡동,20433951,장수갈비,4615011100101220011001364,23,기사대리운전,1,,46,전라남도,,1,,Q,음식,Q01,한식,Q01A02,갈비/삼겹살,I56111,한식 음식점업,34.9478726241236,4615011100,조곡동,전라남도 순천시 조곡동 122-11,4615011100201220011,122,11,127.503444871205,57965,540963,1,대지,전라남도 순천시 이수1길,전라남도 순천시 이수1길 23-1,461504649865,46150,순천시
4,4682025000,해남읍,20433952,백야떡방앗간,4682025031103400005000001,163,농사원,,,46,전라남도,,,,Q,음식,Q08,제과제빵떡케익,Q08A03,떡전문,I56191,제과점업,34.5463272091987,4682025031,해남읍,전라남도 해남군 해남읍 백야리 366-3,4682025000203660003,366,3,126.574354678618,59046,536804,1,대지,전라남도 해남군 해남읍 해남화산로,전라남도 해남군 해남읍 해남화산로 163,468203294024,46820,해남군
5,4146358500,동백동,20433962,장충동가마솥왕족발,4146311600108310001017949,267,월드프라자,,,41,경기도,,1,,Q,음식,Q03,일식/수산물,Q03A03,음식점-초밥전문,I56113,일식 음식점업,37.2766331494434,4146311600,중동,경기도 용인시 기흥구 중동 831-1,4146358500208310001,831,1,127.152429855568,17006,446528,1,대지,경기도 용인시 기흥구 동백중앙로,경기도 용인시 기흥구 동백중앙로 267,414633204027,41463,용인시 기흥구
6,4785025000,왜관읍,20433967,신맛그린,4785025021102120080039631,2,,,,47,경상북도,,,80,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,35.993755190959,4785025021,왜관읍,경상북도 칠곡군 왜관읍 왜관리 212-79,4785025021202120079,212,79,128.398876304326,39886,718805,1,대지,경상북도 칠곡군 왜관읍 중앙로3길,경상북도 칠곡군 왜관읍 중앙로3길 2,478504766503,47850,칠곡군
7,4155051000,안성1동,20433969,짱가네감자탕,4155010200100070006019205,62,,,,41,경기도,,1,,Q,음식,Q01,한식,Q01A05,해장국/감자탕,I56111,한식 음식점업,37.0094393476131,4155010200,숭인동,경기도 안성시 숭인동 7-6,4155010200200070006,7,6,127.274233042563,17590,456050,1,대지,경기도 안성시 중앙로419번길,경기도 안성시 중앙로419번길 62,415504424633,41550,안성시
8,4817074000,가호동,20433974,다인식당,4817013200106330004409172,13,,,,48,경상남도,,1,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,35.163521997115,4817013200,호탄동,경상남도 진주시 호탄동 633-4,4817013200206330004,633,4,128.117640070403,52819,660310,1,대지,경상남도 진주시 호탄길22번길,경상남도 진주시 호탄길22번길 13,481704797671,48170,진주시
9,4183040000,용문면,20433975,나눔터,4183040033105200002003690,654,,,,41,경기도,,,,Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,분식 및 김밥 전문점,37.5462055285404,4183040033,용문면,경기도 양평군 용문면 신점리 520-2,4183040033205200002,520,2,127.582605195886,12510,476844,1,대지,경기도 양평군 용문면 용문산로,경기도 양평군 용문면 용문산로 654,418303217020,41830,양평군
10,4617036000,다시면,20433978,꿈의궁전,4617036032100380017053234,23,꿈의궁전노래방,21,,46,전라남도,,,,Q,음식,Q09,유흥주점,Q09A10,룸살롱/단란주점,I56211,일반유흥 주점업,35.0163548973714,4617036032,다시면,전라남도 나주시 다시면 동곡리 38-17,4617036032200380017,38,17,126.635543790582,58287,520933,1,대지,전라남도 나주시 다시면 월곡길,전라남도 나주시 다시면 월곡길 23-21,461704652454,46170,나주시
